ENSEMBL,ENTREZID,SYMBOL,gene_type,pi_value_C1,pi_value_C5,pi_value_C7,pi_value_C1_C5_C7
ENSG00000162882,23498,HAAO,protein_coding,2.367745558,0.010421567,8.46E-05,2.367745558
ENSG00000264324,NA,NA,protein_coding,0.125667549,1.731791934,1.366075163,2.365757949
ENSG00000235169,388588,SMIM1,protein_coding,0.287798013,0.377744674,2.358622377,2.358622377
ENSG00000275895,7307,U2AF1,protein_coding,2.350756791,6.01E-05,0.002365854,2.350756791
ENSG00000111057,3875,KRT18,protein_coding,2.345758937,0.000271007,0.005276539,2.345758937
ENSG00000140488,60677,CELF6,protein_coding,2.343788371,0.010739301,0.088881091,2.343788371
ENSG00000159388,7832,BTG2,protein_coding,2.337229347,0.054693509,0.174974443,2.337229347
ENSG00000186049,319101,KRT73,protein_coding,3.442260777,0.663921628,0.170998901,2.28539138
ENSG00000228253,4509,ATP8,protein_coding,0.015632228,1.93668726,1.176114875,2.277766694
ENSG00000125740,2354,FOSB,protein_coding,0.243467566,1.217724604,1.860421795,2.265481393
ENSG00000170525,5209,PFKFB3,protein_coding,2.261942018,0.042897364,0.000306249,2.261942018
ENSG00000272414,100631383,FAM47E-STBD1,protein_coding,1.428176109,1.572608834,0.122928617,2.245962367
ENSG00000173421,339834,CCDC36,protein_coding,0.23081071,2.242838167,0.080234837,2.242838167
ENSG00000260170,NA,NA,protein_coding,2.564911853,0.86858473,0.172049762,2.22784327
ENSG00000142494,55244,SLC47A1,protein_coding,2.61717408,0.032539951,0.849437219,2.223125071
ENSG00000122477,127495,LRRC39,protein_coding,0.026931402,2.216326576,0.270686608,2.216326576
