ENSEMBL,logFC,P.Value
ENSG00000160404,-0.28288769,0.09660203
ENSG00000169689,0.458010662,0.096701696
ENSG00000187699,-0.469965078,0.096722924
ENSG00000152457,0.199018203,0.096928926
ENSG00000188848,0.699962175,0.096943787
ENSG00000163600,0.444133728,0.097004368
ENSG00000176293,1.031122195,0.097031957
ENSG00000107863,-0.251815175,0.097109551
ENSG00000126458,0.548490746,0.097199592
ENSG00000120903,-0.400215495,0.097353206
ENSG00000152229,-0.309260688,0.097625968
ENSG00000121413,0.873224794,0.097661105
ENSG00000179163,0.273164186,0.098330041
ENSG00000127585,0.700276564,0.098454397
ENSG00000126861,-0.529436535,0.098575457
ENSG00000143314,0.452682342,0.098774719
ENSG00000183598,0.578708406,0.098900015
ENSG00000145113,-1.334005637,0.09892309
ENSG00000083750,0.270795456,0.099130018
ENSG00000141698,0.580963474,0.099256624
ENSG00000186088,-0.299145316,0.099508199
ENSG00000135423,0.994371519,0.099548921
ENSG00000180035,0.366109372,0.099608412
ENSG00000140993,0.583255015,0.099640559
ENSG00000139531,0.42917773,0.099647052
ENSG00000157837,-0.262755019,0.099656956
ENSG00000182405,0.406499239,0.100124127
ENSG00000126749,0.242816821,0.100328907
ENSG00000114631,0.709172413,0.100383934
ENSG00000165392,-0.221903813,0.100471009
ENSG00000243477,0.447717651,0.100586839
ENSG00000113504,0.699377588,0.100684827
ENSG00000118418,0.44093288,0.10078887
ENSG00000169031,0.820157832,0.100813811
ENSG00000132541,0.620105796,0.101071868
ENSG00000150768,0.314759944,0.10159905
ENSG00000113083,-0.700012269,0.101717068
ENSG00000215421,-0.250616991,0.101747435
ENSG00000214193,0.681515827,0.101948996
ENSG00000127366,-0.741889167,0.101983861
ENSG00000037637,-0.179046078,0.102182389
ENSG00000184731,1.404610011,0.102220257
ENSG00000100652,-0.452849287,0.102348509
ENSG00000136381,-0.17661713,0.102612407
ENSG00000197646,0.757509451,0.103071937
ENSG00000177946,0.348970773,0.103279835
ENSG00000271741,0.799679223,0.103287811
ENSG00000197959,-0.481655339,0.103376304
ENSG00000185127,0.202230819,0.103383962
ENSG00000136261,0.34014647,0.103405493
ENSG00000080561,0.834450856,0.103457034
ENSG00000166295,0.238851106,0.103506583
ENSG00000127083,-1.114291454,0.103595865
ENSG00000167637,0.332082907,0.103611972
ENSG00000154764,1.175302325,0.103625123
ENSG00000044459,-0.445960132,0.103643742
ENSG00000130348,0.308433492,0.103713633
ENSG00000204519,0.483018486,0.103823968
ENSG00000101935,-0.251491926,0.103843852
ENSG00000185722,-0.258507087,0.103965288
ENSG00000164440,0.508869152,0.10408038
ENSG00000160113,0.734204121,0.1042325
ENSG00000151117,0.416081237,0.104257973
ENSG00000253910,0.949393501,0.104282307
ENSG00000116771,0.711142273,0.104514639
ENSG00000101353,-0.845021309,0.104668305
ENSG00000204516,-0.424862452,0.104714469
ENSG00000136457,0.938850525,0.104781136
ENSG00000101452,0.277383098,0.104827083
ENSG00000105849,0.387880498,0.10486439
ENSG00000133302,-0.268813876,0.105047842
ENSG00000169282,-0.413735953,0.105115615
ENSG00000225830,-0.191944188,0.105241278
ENSG00000166321,0.407170024,0.105558617
ENSG00000007341,-0.272536523,0.105594924
ENSG00000138134,0.305296093,0.105601817
ENSG00000121406,0.421684233,0.105644607
ENSG00000151490,0.540861253,0.105662641
ENSG00000103253,-0.491303872,0.105721885
ENSG00000180071,1.058296787,0.105773555
ENSG00000160360,0.62113131,0.105789412
ENSG00000063046,0.267767376,0.105952117
ENSG00000177932,0.499766967,0.105974295
ENSG00000166507,-0.233960995,0.105978775
ENSG00000164136,-0.474450256,0.106035244
ENSG00000112029,0.474269258,0.106794737
ENSG00000120071,-0.314814343,0.106812238
ENSG00000132434,0.344099133,0.106855289
ENSG00000284906,0.700916267,0.107208397
ENSG00000143771,0.187452607,0.107213837
ENSG00000173821,-0.458599887,0.107506847
ENSG00000118503,-0.376055192,0.107648233
ENSG00000048544,0.282145308,0.107921821
ENSG00000101605,-0.502392446,0.108057136
